,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
27,00641R,富邦日本反1,"318,192",117,"3,287,706",10.29,10.39,10.25,10.39,+,0.27,10.39,101,10.40,20,0.00
28,00642U,期元大S&P石油,"26,548,313","3,932","405,415,223",15.24,15.31,15.18,15.20,+,0.24,15.19,"3,579",15.20,98,0.00
29,00643,群益深証中小,"265,497",103,"4,943,072",18.50,18.75,18.47,18.49,-,0.19,18.48,1,18.49,1,0.00
30,00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0.0,4.26,2,4.33,1,0.00
31,00645,富邦日本,"397,558",188,"10,188,983",25.71,25.79,25.47,25.47,-,0.74,25.46,1,25.47,29,0.00
32,00646,元大S&P500,"2,091,186","1,719","81,299,932",38.93,38.97,38.80,38.81,-,0.6,38.80,118,38.81,16,0.00
33,00647L,元大S&P500正2,"397,443",168,"28,974,807",73.15,73.45,72.30,72.30,-,3.05,72.25,2,72.30,38,0.00
34,00648R,元大S&P500反1,"3,058,300",271,"20,189,745",6.59,6.63,6.58,6.63,+,0.12,6.63,31,6.64,"1,258",0.00
35,00650L,FH香港正2,"2,138,119",291,"45,604,201",21.21,21.61,21.08,21.15,-,0.22,21.15,108,21.16,3,0.00
36,00651R,FH香港反1,"424,000",51,"3,284,590",7.79,7.81,7.71,7.80,+,0.04,7.78,100,7.80,59,0.00
37,00652,富邦印度,"100,352",98,"2,956,961",29.60,29.60,29.31,29.31,-,0.52,29.30,2,29.31,2,0.00
38,00653L,富邦印度正2,"1,875,105",209,"89,430,922",47.88,48.04,47.15,47.21,-,1.29,47.15,1,47.21,20,0.00
39,00654R,富邦印度反1,"675,000",126,"5,391,220",8.01,8.03,7.95,8.03,+,0.11,8.02,2,8.03,37,0.00
40,00655L,國泰中國A50正2,"1,095,110",367,"42,853,050",38.95,39.70,38.80,38.89,-,0.22,38.87,1,38.89,164,0.00
41,00656R,國泰中國A50反1,"53,000",11,"403,820",7.55,7.63,7.55,7.63,+,0.02,7.62,100,7.64,260,0.00
42,00657,國泰日經225,"20,225",10,"667,155",33.18,33.18,32.80,32.80,-,1.07,32.79,12,32.87,30,0.00
43,00657K,國泰日經225+U,200,2,"2,390",11.95,11.95,11.95,11.95,-,0.32,11.85,10,11.93,10,0.00
44,00660,元大歐洲50,"2,039",7,"61,639",30.36,30.36,30.12,30.12,-,0.61,30.12,1,30.18,20,0.00
45,00661,元大日經225,"21,130",18,"735,026",35.10,35.10,34.65,34.65,-,1.19,34.56,3,34.58,15,0.00
46,00662,富邦NASDAQ,"1,749,009","1,468","94,412,136",54.10,54.20,53.70,53.75,-,1.25,53.70,8,53.75,36,0.00
47,00663L,國泰臺灣加權正2,"135,010",19,"17,976,540",133.05,133.60,132.50,132.60,-,2.75,132.40,50,132.60,100,0.00
48,00664R,國泰臺灣加權反1,"5,438,171",486,"31,485,880",5.80,5.81,5.76,5.81,+,0.06,5.80,"1,031",5.81,"3,204",0.00
49,00665L,富邦恒生國企正2,"667,134",164,"9,976,963",14.91,15.10,14.72,14.75,-,0.11,14.74,11,14.75,4,0.00
50,00666R,富邦恒生國企反1,"73,000",3,"953,470",13.06,13.09,13.06,13.09,+,0.04,13.07,50,13.16,110,0.00
51,00668,國泰美國道瓊,"84,816",95,"3,000,611",35.61,35.61,35.26,35.30,-,0.5,35.29,3,35.30,65,0.00
52,00668K,國泰美國道瓊+U,200,2,"2,552",12.76,12.76,12.76,12.76,-,0.22,12.71,10,12.80,10,0.00
53,00669R,國泰美國道瓊反1,"5,086,995",683,"39,111,817",7.68,7.73,7.66,7.73,+,0.14,7.72,597,7.73,543,0.00
54,00670L,富邦NASDAQ正2,"2,656,280","1,275","286,637,250",108.45,109.35,106.65,106.65,-,6.05,106.65,9,106.70,1,0.00
55,00671R,富邦NASDAQ反1,"13,010,174",856,"68,121,232",5.22,5.27,5.20,5.27,+,0.13,5.26,"1,398",5.27,"1,205",0.00
56,00673R,期元大S&P原油反1,"9,524,863","1,650","109,827,889",11.56,11.59,11.49,11.57,-,0.2,11.57,28,11.58,191,0.00
57,00674R,期元大S&P黃金反1,"335,000",22,"4,333,090",12.92,12.95,12.92,12.94,+,0.05,12.92,1,12.94,26,0.00
58,00675L,富邦臺灣加權正2,"783,854",266,"44,915,579",57.35,57.85,56.90,57.05,-,1.2,57.00,9,57.05,159,0.00
59,00676R,富邦臺灣加權反1,"5,830,000",311,"18,453,670",3.16,3.18,3.15,3.17,+,0.03,3.17,"3,526",3.18,"4,647",0.00
60,00678,群益NBI生技,"492,898",206,"11,781,157",23.99,23.99,23.86,23.88,-,0.75,23.87,1,23.88,10,0.00
61,00680L,元大美債20正2,"176,001",45,"3,956,674",22.52,22.57,22.45,22.57,-,0.24,22.53,49,22.57,23,0.00
62,00681R,元大美債20反1,"287,006",42,"3,944,692",13.76,13.76,13.73,13.73,+,0.07,13.72,101,13.74,2,0.00
63,00682U,期元大美元指數,"45,000",31,"847,380",18.82,18.85,18.82,18.83,+,0.07,18.82,3,18.83,41,0.00
64,00683L,期元大美元指正2,"974,000",161,"17,907,880",18.40,18.40,18.37,18.40,+,0.12,18.40,10,18.41,76,0.00
65,00684R,期元大美元指反1,0,0,0,--,--,--,--, ,0.0,17.86,20,17.90,5,0.00
66,00685L,群益臺灣加權正2,"3,000",2,"150,750",50.25,50.25,50.25,50.25,-,0.7,49.97,1,50.20,107,0.00
67,00686R,群益臺灣加權反1,"164,000",26,"564,370",3.45,3.45,3.43,3.45,+,0.04,3.45,1,3.46,60,0.00
68,00688L,國泰20年美債正2,"55,000",12,"1,235,060",22.41,22.55,22.40,22.55,-,0.2,22.52,2,22.55,43,0.00
69,00689R,國泰20年美債反1,"29,999",10,"432,885",14.45,14.46,14.41,14.41,+,0.05,14.41,200,14.42,1,0.00
70,00690,兆豐藍籌30,"128,129",9,"4,442,737",34.89,34.89,34.64,34.64,-,0.36,34.62,20,34.67,1,0.00
71,00692,富邦公司治理,"3,795,986","2,518","138,736,268",36.62,36.70,36.40,36.45,-,0.4,36.43,1,36.45,106,0.00
72,00693U,期街口S&P黃豆,"361,591",79,"7,802,705",21.44,21.65,21.44,21.59,+,0.19,21.58,91,21.59,1,0.00
73,00700,富邦恒生國企,"455,416",43,"6,882,455",15.06,15.17,14.99,14.99,-,0.07,14.91,1,14.98,1,0.00
74,00701,國泰股利精選30,"10,443,598","6,541","276,911,490",26.58,26.61,26.44,26.48,-,0.16,26.47,42,26.48,158,0.00
75,00702,國泰標普低波高息,"141,313",9,"2,898,145",20.51,20.51,20.50,20.51,-,0.24,20.49,1,20.50,20,0.00
76,00703,台新MSCI中國,"181,112",28,"3,400,538",18.88,18.88,18.63,18.63,-,0.25,18.62,1,18.63,8,0.00
77,00706L,期元大S&P日圓正2,"35,000",11,"507,070",14.44,14.53,14.43,14.53,+,0.14,14.50,20,14.53,35,0.00
78,00707R,期元大S&P日圓反1,0,0,0,--,--,--,--, ,0.0,20.35,36,20.42,45,0.00
79,00708L,期元大S&P黃金正2,"516,020",200,"13,466,552",26.12,26.16,26.03,26.10,-,0.16,26.10,222,26.11,10,0.00
80,00709,富邦歐洲,"115,556",20,"2,724,602",23.58,23.64,23.50,23.58,-,0.18,23.43,30,23.52,20,0.00
81,00710B,FH彭博高收益債,"225,134",180,"3,983,657",17.71,17.72,17.69,17.70,-,0.01,17.69,9,17.70,289,0.00
82,00711B,FH彭博新興債,"391,735",58,"7,396,879",18.93,18.93,18.87,18.91,-,0.18,18.90,4,18.91,3,0.00
83,00712,FH富時不動產,"5,169,799","3,454","68,469,462",13.16,13.28,13.16,13.23,-,0.15,13.22,471,13.23,23,0.00
